,id,Type,Player,href,decklist,record,date
10,4896470,4c Living End,Xerk,/deck/visual/4896470?fullscreen=true,"4 Architects of Will
1 Boseiju, Who Endures
3 Botanical Sanctum
1 Brazen Borrower
2 Breeding Pool
4 Curator of Mysteries
1 Flooded Strand
4 Force of Negation
1 Forest
4 Grief
1 Island
3 Living End
4 Misty Rainforest
2 Otawara, Soaring City
1 Scalding Tarn
4 Shardless Agent
1 Spirebluff Canal
2 Steam Vents
4 Street Wraith
4 Striped Riverwinder
1 Subtlety
4 Violent Outburst
3 Waker of Waves
1 Wooded Foothills

1 Brazen Borrower
2 Force of Vigor
2 Foundation Breaker
3 Leyline of Sanctity
2 Leyline of the Void
1 Living End
2 Mystical Dispute
2 Subtlety
",11, 2022-06-19
11,4896471,Jund,iL_Tedesco,/deck/visual/4896471?fullscreen=true,"1 Blackcleave Cliffs
2 Blood Crypt
3 Bloodstained Mire
1 Boseiju, Who Endures
1 Dryad Arbor
2 Fable of the Mirror-Breaker
2 Fatal Push
1 Forest
2 Fury
1 Grist, the Hunger Tide
2 Inquisition of Kozilek
1 Kolaghan's Command
1 Lightning Bolt
2 Liliana of the Veil
1 Mountain
1 Nihil Spellbomb
2 Overgrown Tomb
1 Pyrite Spellbomb
4 Ragavan, Nimble Pilferer
1 Shadowspear
1 Springleaf Drum
1 Stomping Ground
1 Swamp
4 Tarmogoyf
1 Terminate
4 Thoughtseize
1 Tireless Tracker
2 Unholy Heat
3 Urza's Saga
4 Verdant Catacombs
1 Wooded Foothills
4 Wrenn and Six
1 Ziatora's Proving Ground

2 Alpine Moon
1 Ashiok, Dream Render
1 Boseiju, Who Endures
1 Chalice of the Void
2 Engineered Explosives
1 Force of Vigor
4 Leyline of the Void
1 Pithing Needle
1 Torpor Orb
1 Tourach, Dread Cantor
",12, 2022-06-19
12,4896472,Azorius Control,viktor_von_muerte,/deck/visual/4896472?fullscreen=true,"4 Archmage's Charm
2 Castle Vantress
2 Celestial Colonnade
2 Chalice of the Void
4 Counterspell
1 Dress Down
3 Fire/Ice
4 Flooded Strand
2 Hall of Storm Giants
2 Hallowed Fountain
3 Island
2 Memory Deluge
3 Mystic Gate
1 Otawara, Soaring City
1 Plains
4 Prismatic Ending
1 Raugrin Triome
3 Scalding Tarn
2 Snapcaster Mage
4 Solitude
1 Steam Vents
2 Supreme Verdict
2 Teferi, Hero of Dominaria
4 Teferi, Time Raveler
1 The Wandering Emperor

2 Celestial Purge
2 Dovin's Veto
2 Dress Down
1 Emrakul, the Promised End
2 Mystical Dispute
2 Rest in Peace
1 Shark Typhoon
1 Stony Silence
1 Summary Dismissal
1 Supreme Verdict
",13, 2022-06-19
13,4896473,Izzet Control,toondoslav,/deck/visual/4896473?fullscreen=true,"3 Archmage's Charm
4 Consider
4 Counterspell
1 Dress Down
4 Expressive Iteration
1 Fiery Islet
2 Flooded Strand
4 Ledger Shredder
4 Lightning Bolt
4 Mishra's Bauble
2 Misty Rainforest
3 Murktide Regent
1 Otawara, Soaring City
2 Polluted Delta
4 Ragavan, Nimble Pilferer
1 Scalding Tarn
3 Snow-Covered Island
2 Spell Pierce
4 Spirebluff Canal
3 Steam Vents
4 Unholy Heat

1 Blood Moon
1 Dress Down
2 Engineered Explosives
2 Flusterstorm
1 Jace, the Mind Sculptor
1 Magus of the Moon
2 Mystical Dispute
2 Subtlety
1 Tormod's Crypt
2 Unlicensed Hearse
",14, 2022-06-19
14,4896474,Izzet Control,JoseCabezas,/deck/visual/4896474?fullscreen=true,"3 Archmage's Charm
4 Consider
4 Counterspell
1 Dress Down
4 Expressive Iteration
1 Fiery Islet
2 Flooded Strand
4 Ledger Shredder
4 Lightning Bolt
4 Mishra's Bauble
2 Misty Rainforest
3 Murktide Regent
1 Otawara, Soaring City
2 Polluted Delta
4 Ragavan, Nimble Pilferer
1 Scalding Tarn
3 Snow-Covered Island
2 Spell Pierce
4 Spirebluff Canal
3 Steam Vents
4 Unholy Heat

1 Blood Moon
1 Dress Down
2 Engineered Explosives
2 Flusterstorm
1 Jace, the Mind Sculptor
1 Magus of the Moon
2 Mystical Dispute
2 Subtlety
1 Tormod's Crypt
2 Unlicensed Hearse
",15, 2022-06-19
15,4896475,Azorius Blink,Oscar_Franco,/deck/visual/4896475?fullscreen=true,"4 Archmage's Charm
2 Castle Vantress
2 Celestial Colonnade
4 Chalice of the Void
4 Counterspell
4 Flooded Strand
2 Glacial Fortress
1 Hall of Storm Giants
2 Hallowed Fountain
6 Island
4 March of Otherworldly Light
2 Memory Deluge
2 Misty Rainforest
4 Mystic Gate
1 Otawara, Soaring City
2 Plains
2 Polluted Delta
4 Prismatic Ending
1 Raugrin Triome
2 Restoration Angel
2 Scalding Tarn
4 Solitude
1 Spara's Headquarters
4 Spreading Seas
2 Supreme Verdict
2 Teferi, Hero of Dominaria
4 Teferi, Time Raveler
2 The Wandering Emperor
4 Wall of Omens

2 Aether Gust
2 Dovin's Veto
2 Dress Down
2 Mystical Dispute
2 Rest in Peace
4 Subtlety
1 Yorion, Sky Nomad
",16, 2022-06-19
16,4896476,4c Blink,Idea013,/deck/visual/4896476?fullscreen=true,"4 Abundant Growth
1 Boseiju, Who Endures
1 Breeding Pool
4 Counterspell
2 Dress Down
1 Eladamri's Call
1 Endurance
2 Ephemerate
2 Eternal Witness
4 Expressive Iteration
4 Flooded Strand
1 Fury
1 Hallowed Fountain
4 Ice-Fang Coatl
1 Ketria Triome
3 Lightning Bolt
2 March of Otherworldly Light
4 Misty Rainforest
4 Omnath, Locus of Creation
1 Otawara, Soaring City
4 Prismatic Ending
1 Raugrin Triome
1 Sacred Foundry
2 Snow-Covered Forest
1 Snow-Covered Island
1 Snow-Covered Plains
1 Sokenzan, Crucible of Defiance
4 Solitude
1 Steam Vents
1 Stomping Ground
4 Teferi, Time Raveler
1 Temple Garden
4 Windswept Heath
3 Wooded Foothills
4 Wrenn and Six

3 Chalice of the Void
1 Emrakul, the Promised End
3 Endurance
1 Flusterstorm
2 Force of Vigor
2 Supreme Verdict
2 Veil of Summer
1 Yorion, Sky Nomad
",17, 2022-06-19
17,4896477,Burn,IWDominate,/deck/visual/4896477?fullscreen=true,"2 Bloodstained Mire
4 Boros Charm
4 Eidolon of the Great Revel
1 Fiery Islet
4 Goblin Guide
4 Inspiring Vantage
4 Lava Spike
4 Lightning Bolt
2 Lightning Helix
4 Monastery Swiftspear
3 Mountain
4 Rift Bolt
2 Sacred Foundry
2 Scalding Tarn
4 Searing Blaze
4 Skewer the Critics
2 Skullcrack
4 Sunbaked Canyon
2 Wooded Foothills

3 Deflecting Palm
2 Path to Exile
4 Roiling Vortex
3 Sanctifier en-Vec
3 Smash to Smithereens
",18, 2022-06-19
18,4896478,Dimir Mill,tibalt_of_red_sub,/deck/visual/4896478?fullscreen=true,"4 Archive Trap
1 Baleful Mastery
1 Crypt Incursion
1 Darkslick Shores
4 Drown in the Loch
4 Fatal Push
4 Field of Ruin
4 Fractured Sanity
4 Hedron Crab
1 Into the Story
1 Mikokoro, Center of the Sea
1 Murderous Cut
1 Oboro, Palace in the Clouds
1 Otawara, Soaring City
4 Polluted Delta
4 Ruin Crab
2 Shelldock Isle
4 Snow-Covered Island
2 Snow-Covered Swamp
3 Surgical Extraction
4 Tasha's Hideous Laughter
3 Visions of Beyond
2 Watery Grave

1 Echoing Truth
1 Eliminate
2 Engineered Explosives
2 Ensnaring Bridge
3 Extirpate
2 Ghost Quarter
1 Go for the Throat
3 Soul-Guide Lantern
",19, 2022-06-19
19,4896479,Hammer Time,HappySandwich,/deck/visual/4896479?fullscreen=true,"2 Arid Mesa
2 Blacksmith's Skill
4 Colossus Hammer
4 Esper Sentinel
1 Gingerbrute
2 Giver of Runes
2 Hallowed Fountain
3 Inkmoth Nexus
1 Kaldra Compleat
2 Marsh Flats
4 Ornithopter
3 Plains
4 Puresteel Paladin
3 Seachrome Coast
1 Shadowspear
4 Sigarda's Aid
1 Silent Clearing
2 Spell Pierce
3 Springleaf Drum
1 Steelshaper's Gift
4 Stoneforge Mystic
1 The Reality Chip
4 Urza's Saga
2 Windswept Heath

2 Hushbringer
2 Lavinia, Azorius Renegade
3 Mana Leak
2 March of Otherworldly Light
1 Path to Exile
1 Pithing Needle
1 Relic of Progenitus
2 Sanctifier en-Vec
1 Spell Pierce
",20, 2022-06-19
